Column1;_8;_9
箸[はし];お箸つけますか？;Souhaitez-vous utiliser des baguettes ?
見つける[みつける];トムを見つけて。 ;Trouvez Tom.
三日[みっか];１０月[じゅうがつ] ３日[みっか]です。;C'est le trois octobre.
六日[むいか];10月[じゅうがつ] 6日[むいか]に 会[あ]いませんか。;Est-ce qu'on ne se verrait pas le 6 octobre ?
頁[ページ];5ページの最初を見てください。;Regardez le début de la page 5.
四日[よっか];７月[しちがつ] ４日[よっか]はアメリカでは 休[やす]みの 日[ひ]です。;Le 4 juillet est un jour ferié aux USA.
七日[なのか];9月[くがつ] ７日[なのか] のお 手紙[てがみ]、ありがとうございました。;Merci beaucoup pour votre lettre du 7 septembre.
順[じゅん];あいうえお じゅん に ならべて ください;Veuillez vous aligner dans l'ordre du syllabaire japonais.
主要[しゅよう];あいてぃー さんぎょう は いんど の しゅよう さんぎょう よ ね;L'informatique est une industrie majeure en Inde.
久しぶり[ひさしぶり];あした ひさしぶり に ともだち に あいます;Demain, je rencontre un ami que je n'ai pas vu depuis longtemps.
歓迎[かんげい];あたたかい かんげい を うけました;J'ai reçu un accueil chaleureux.
堪らない[たまらない];あたま が いたくて たまらない;J'ai un mal de tête insupportable.
型[かた];あたらしい かた の かめら を かいました;J'ai acheté un appareil photo nouveau modèle.
機械[きかい];あたらしい きかい が こわれた;La nouvelle machine est tombée en panne.
雇う[やとう];あたらしい しゃいん を やといました;Nous avons embauché un nouveau membre du personnel.
建設[けんせつ];あたらしい びる の けんせつ が はじまった;La construction du nouveau bâtiment a commencé.
辺り[あたり];あたり を みまわした の;Nous avons regardé autour de nous.
見解[けんかい];あなた の けんかい を きかせて ください;Merci de me donner votre avis.
考慮[こうりょ];あなた の じじょう を こうりょ して よてい を たてました;Nous avons élaboré le plan en tenant compte de votre situation.
今に[いまに];あなた も いまに わかる でしょう;Vous comprendrez un jour.
仲[なか];あなたたち は なか が いい です ね;Vous vous entendez bien, n'est-ce pas ?
嫁[よめ];あね が よめ に いった の;Ma grande sœur s'est mariée.
積極的[せっきょくてき];あね は なに に たいして も せっきょくてき です;Ma sœur aînée est positive à propos de tout.
利口[りこう];あの いぬ は とても りこう です ね;Ce chien est très intelligent.
岩[いわ];あの いわ まで およごう;Nagons jusqu'à ce rocher.
お巡りさん[おまわりさん];あの お 巡[まわ]りさん に みち を ききましょう;Demandons notre chemin à ce policier. (familier amical)
態度[たいど];あの おとこ の たいど に みんな あきれて た よ;Tout le monde était fatigué de l'attitude de l'homme.
発展[はってん];あの かいしゃ は めざましく はってん して いる ね;Cette entreprise s'est considérablement développée.
重視[じゅうし];あの きぎょう で は がくれき が じゅうし される よ;Une formation est valorisée dans cette entreprise.
知能[ちのう];あの こ の ちのう は とても たかい そう です;Apparemment, cet enfant est très intelligent.
塔[とう];あの とう の たかさ は どれ くらい です か;Quelle est la hauteur de cette tour ?
悲劇[ひげき];あの ひげき を くりかえして は いけない;Vous ne devez pas répéter cette tragédie.
区別[くべつ];あの ふたり は そっくり で くべつ できない;Ces deux-là semblent identiques et je ne peux pas les différencier.
国境[こっきょう];あの やま の すぐ ちかく が こっきょう です;La frontière est juste à côté de ces montagnes.
短く[みじかく];あの赤いネクタイはあまり短くないです。;Cette cravate rouge n'est pas tellement courte.
取り上げる[とりあげる];あぶない の で こども から らいたー を とりあげました;Le briquet a été enlevé à l'enfant parce qu'il était dangereux.
一層[いっそう];あめ が いっそう はげしく なった ね;La pluie est devenue encore plus forte.
嵐[あらし];あらし で にわ の き が おれた よ 。;L'arbre du jardin s'est cassé dans la tempête.
巣[す];あり は つち の なか に す を つくります;Les fourmis construisent des nids sous terre.
年月[としつき];あれ から ながい としつき が たちました;Un long moment s'est écoulé depuis lors.
