何の[どの];この5つの中で、どのドラマが一番好きですか？;Parmis ces 5, quel drama aimez-vous le plus ?;25
始め[はじめ];始めにスープが出ます。;Une soupe sera servie au début.;311
本当は[ほんとうは];彼が本当は何が欲しいのかわからない。;Je ne sais vraiment pas ce qu'il veut vraiment.;315
六[ろく];かれ に は こども が ろくにん います;Il a six enfants.;347
から;ここからタワーが見えるよ。;On peut voir la tour d'ici.;348
ええ;ええ、私も知りたいです。;Oui, j'aimerais bien le savoir aussi.;355
へえ;へえ、それは知りませんでした。;Ah bon, je ne savais pas ça.;371
こんな;こんな靴がほしかった。;Je voulais des chaussures comme celles-ci.;372
鼻[はな];豚の鼻はおもしろいですね。;Le nez des cochons est drôle.;383
机[つくえ];王さんの机はどれですか。;Lequel est le bureau de M. Ou ?;387
ううん;ううん、見なかった。;Non, je ne l'ai pas vu.;398
二つ[ふたつ];明日、二つ会議がある。;Il y aura deux réunions demain.;423
撮る[とる];しゃしん を たくさん とりました;J'ai pris beaucoup de photos.;424
じゃ;いいね。じゃ、行こう！;Super. Allez, on y va !;425
カレー;日本ではカレーが甘いです。;Au Japon, le curry est doux.;444
箸[はし];お箸つけますか？;Souhaitez-vous utiliser des baguettes ?;448
皿[さら];お皿を洗ってもらえませんか？;Pourriez-vous faire la vaisselle pour moi ?;456
お風呂[おふろ];あなたが電話したとき、私はお風呂に入っていたのです。;J'étais dans le bain quand tu as appelé.;479
厚い[あつい];その じしょ は とても あつい;Ce dictionnaire est très épais.;490
良い[よい];彼は良い人です。;Il est une bonne personne.;509
警官[けいかん];警官が街をパトロールしている。;Le policier patrouille dans la ville.;511
ご飯[ごはん];ご飯がおいしい。;Le repas est bon.;512
寒い[さむい];あなたの部屋は寒いですか？;Votre chambre est-elle froide ?;514
テープ;そのテープを聞きましょう。;Écoutons cette cassette.;515
散歩[さんぽ];彼女は今朝お父さんと散歩した。;Elle s'est promenée avec son père ce matin.;519
どうも;気にかけていただいてどうも。;Merci beaucoup de vous en soucier.;520
掃除[そうじ];トイレを掃除しましたか。;As-tu nettoyé les toilettes ?;523
でも;今日は学校がある。でも、病気で行けなかった。;Aujourd'hui, il y avait école. Mais parce que j'étais malade, je n'ai pas pu y aller.;525
失礼ですが[しつれいですが];失礼ですがどなたでしょうか。;Excusez-moi, mais qui êtes-vous ?;527
じゃあ;病気じゃありませんから、心配しないでください。;Je ne suis pas malade, alors ne vous inquiétez pas.;533
もしもし;もしもし、ジョンソンさんをお願いします。;Allô, passez-moi M. Johnson, svp.;536
お元気ですか[おげんきですか];奥様はお元気ですか。;Comment va votre femme ?;538
バター;バターはあまり好きではありません。;Je n'aime pas trop le beurre.;539
コート;寒いのでコートを着なければなりません。;Puisqu'il fait froid, je dois porter un manteau.;540
パーティー;パーティーは楽しむものです。;Une fête, c'est fait pour s'amuser.;543
お弁当[おべんとう];お弁当はよかったでしょう。;Le panier-repas était bon, n'est-ce pas ?;546
いらっしゃいませ;あなたも私たちと一緒にいらっしゃいませんか。;Ne viendriez-vous pas avec nous  (Respectueux);547
ベッド;新しいベッドを買いたい。;Je veux acheter un nouveau lit.;549
スカート;かのじょ は あまり スカート は はかない;Elle ne porte pas souvent de jupes.;558
洗濯[せんたく];メアリーは洗濯物を干してるよ。;Marie étend le linge.;561
幾つ[いくつ];弟さんって、お幾つですか？;Quel âge a votre petit frère ?;563
どうやって;この動画、どうやって作ったんですか？;Comment avez-vous réalisé cette vidéo ?;564
ギター;これは兄のギターです。;Ceci est la guitare de mon grand frère.;566
珈琲[コーヒー];喫茶店でコーヒーを飲む;Je bois un café dans un café.;569
易しい[やさしい];この踊りは易しいですよ。;Cette danse est facile !;570
茶碗[ちゃわん];この大きい茶碗は誰のですか。;A qui est ce grand bol ?;572
背が高い[せがたかい];こんなに背が高いホビットは見たことがないよ。;Je n'ai jamais vu un hobbit aussi grand auparavant.;578
お茶[おちゃ];お茶でも飲みませんか。;Voulez-vous prendre du thé ?;579
一万[いちまん];この靴は1万円です。;Ces chaussures sont à 10 000 yens.;582
一月[ひとつき];日本に一月ぐらいいました。;Je suis resté au Japon pendant environ un mois.;589
務める[つとめる];彼女は大きな会社に務めていたけど、やめた。;Elle travaillait dans une grande entreprise, mais elle a démissionné.;598
一千[いっせん];昨日、私は一千円で本を買いました。;Hier, j’ai acheté un livre pour 1000 yens.;605
体にいい[からだにいい];休むことは体にいいです。;Le fait de se reposer est bon pour la santé.;606
良かったら[よかったら];良かったら連れてくよ。;Je peux vous emmener si vous voulez.;609
時[じ];8時です。;Il est 8h.;610
四つ[よっつ];彼はドアが4つある車を持っています。;Il a une voiture qui a quatre portes.;612
立ち入り[たちいり]禁止[きんし];ここ は たちいりきんし です;Ici, c'est une zone interdite.;614
夕べ[ゆうべ];夕べはあまり暑くなかった。;Il n'a pas fait très chaud hier soir.;616
二百[にひゃく];私は二百円持っていたけど、使わなかった。;J'avais 200 yens, mais je ne les ai pas dépensés.;620
五つ[いつつ];彼は５つ新しい単語を覚えました。;Il a mémorisé cinq nouveaux mots.;622
五十[ごじゅう];かいてんずしで、五十さらたべた。;J'ai mangé cinquante assiettes à sushi sur tapis roulant.;626
何方[どっち];どっち の いろ が すき です か 。;Quelle couleur aimes-tu? (fam.);636
お酒[おさけ];私はあまりお酒を飲みません。;Je ne bois pas beaucoup d'alcool.;641
四十[よんじゅう];Tシャツを四十まいもっています。;J'ai quarante tee-shirts.;642
七つ[ななつ];七つの海の名前は何ですか。;Quels sont les noms des sept mers ?;646
音を出す[おとをだす];彼女はピアノで高い音を出した。;Elle a sorti une note aiguë au piano.;647
スリッパ;スリッパ を はいて ください;Portez des pantoufles s'il vous plaît.;652
十[じゅう];十二時;douze heures;655
何方[どちら];お手洗いはどちらですか。;Où se trouvent les toilettes ? (poli);658
朝ご飯[あさごはん];朝ご飯はサンドイッチでした。;Pour le petit-déjeuner, c'était un sandwich. ;659
四千[よんせん];フォロワーが四千人になりました。;J'ai atteint quatre mille followers.;661
如何[どう];事はどうですか？;Le travail, comment ça va ?;665
八つ[やっつ];この赤いリンゴを8つください。;Veuillez me donner huit de ces pommes rouges.;669
二[に];その人には二回会った。;J'ai rencontré cette personne deux fois.;671
此処[ここ];ここから近い;Depuis ici, c’est proche.;672
四[よん];彼は二十四歳です。;Il a vingt-quatre ans.;674
六つ[むっつ];彼らは6つの物を取りました。;Ils ont pris 6 choses.;676
段々[だんだん];段々難しくなります。;Cela devient progressivement difficile.;677
七[なな];数字の七十七;numéro soixante-dix-sept;681
お誕生日おめでとう[おたんじょうびおめでとう];お誕生日おめでとう;joyeux anniversaire;682
頁[ページ];5ページの最初を見てください。;Regardez le début de la page 5.;690
